strategy_id,signal_id,symbol,signal_timestamp,entry_timestamp,entry_price,quantity,stop_level,target_or_exit_rule,exit_timestamp,exit_price,exit_reason,gross_pnl,fees,slippage,net_pnl,sector,model_version,data_snapshot,status
momentum_v1.0,113,CUPID,2026-08-25T04:48:52.458263+00:00,2026-08-25T09:12:38.897912+00:00,282.03,443,231.10,target 392.05; stop 231.10; horizon or regime exit,,,,,,,,Consumer Defensive,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,open
momentum_v1.0,114,HFCL,2026-08-25T04:48:52.458263+00:00,2026-08-25T09:12:38.897912+00:00,238.73,523,201.19,target 316.87; stop 201.19; horizon or regime exit,2026-08-28T03:50:02.553684+00:00,248.78,regime,,,,5254.84,Technology,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,115,THANGAMAYL,2026-08-25T04:48:52.458263+00:00,2026-08-25T09:12:38.897912+00:00,5395.24,23,4390.57,target 7486.37; stop 4390.57; horizon or regime exit,2026-08-26T03:50:04.378152+00:00,5465.22,regime,,,,1609.62,Consumer Cyclical,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,123,THANGAMAYL,2026-08-26T03:45:04.087846+00:00,2026-08-26T03:50:04.084898+00:00,5471.78,22,4390.57,target 7486.37; stop 4390.57; horizon or regime exit,2026-08-27T03:50:20.535775+00:00,5545.67,regime,,,,1625.57,Consumer Cyclical,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,129,ATHERENERG,2026-08-27T03:45:20.290139+00:00,2026-08-27T03:50:20.273916+00:00,1507.80,83,1274.31,target 1935.19; stop 1274.31; horizon or regime exit,2026-08-31T03:50:04.648209+00:00,1661.40,regime,,,,12748.67,Consumer Cyclical,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,138,HFCL,2026-08-28T03:45:55.281445+00:00,2026-08-28T03:50:02.378892+00:00,249.08,506,207.04,target 323.44; stop 207.04; horizon or regime exit,2026-08-31T03:50:04.623787+00:00,254.61,regime,,,,2797.05,Technology,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,146,HFCL,2026-08-31T03:45:04.500394+00:00,2026-08-31T03:50:04.456440+00:00,254.91,502,212.71,target 328.99; stop 212.71; horizon or regime exit,2026-09-03T03:50:21.547446+00:00,223.87,regime,,,,-15585.72,Technology,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,147,INDSWFTLAB,2026-08-31T03:45:04.500394+00:00,2026-08-31T03:50:04.456440+00:00,359.95,356,282.61,target 508.91; stop 282.61; horizon or regime exit,2026-09-01T03:50:38.046192+00:00,363.33,regime,,,,1205.43,Healthcare,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,155,INDSWFTLAB,2026-09-01T03:45:37.758074+00:00,2026-09-01T03:50:37.747453+00:00,363.77,351,292.25,target 510.11; stop 292.25; horizon or regime exit,2026-09-02T03:50:57.494747+00:00,372.48,regime,,,,3056.60,Healthcare,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,161,ATHERENERG,2026-09-02T03:45:57.166313+00:00,2026-09-02T03:50:57.162279+00:00,1727.24,73,1471.74,target 2233.33; stop 1471.74; horizon or regime exit,,,,,,,,Consumer Cyclical,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,open
momentum_v1.0,170,RPTECH,2026-09-03T03:45:21.405921+00:00,2026-09-03T03:50:21.363061+00:00,811.79,155,650.02,target 1118.26; stop 650.02; horizon or regime exit,2026-09-04T03:50:13.206135+00:00,818.46,regime,,,,1034.14,Technology,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,closed
momentum_v1.0,179,INDSWFTLAB,2026-09-04T03:45:13.060680+00:00,2026-09-04T03:50:13.047122+00:00,367.77,342,299.85,target 518.40; stop 299.85; horizon or regime exit,,,,,,,,Healthcare,,sha256:caadc6b359dbb790d4d6aa3190fe1f5d1d9dee9adfa3ef76383c7a2fbf7eb36c,open
